tweetId,is_covid,got_shown,true?,views,,,,,
1385933720918560771,TRUE,0,gone,,,,,,
1758843549053817257,TRUE,0,,,got a warning,,,,
1458927431503564810,TRUE,0,TRUE,,,,,,
1750868506784972900,TRUE,0,FALSE,"22,900",,,sample size,,
1753584373767491981,TRUE,0,FALSE,"41,200",,,,0.17391304,not covid
1667343824799117314,TRUE,0,FALSE,"5,952",,,20,0.65,warning rate (false negatives)
1761369027685793810,TRUE,0,FALSE,"420,600",,,30,0.6,warning rate (false negatives)
1803157537446842400,TRUE,0,opinion,"372,800",,,40,0.575,warning rate (false negatives)
1698549023865762254,TRUE,0,gone,,,,,,
1742944549872484543,TRUE,0,FALSE,"36,600",,,,,
1845825877587935657,TRUE,0,FALSE,"92,000",,,,,
1734461045656498413,TRUE,0,FALSE,"191,100",,,,,
1735689685748314437,TRUE,0,,,not covid,,,,
1825524114888757613,TRUE,0,FALSE,"26,700",,,,,
1715092658232627472,TRUE,0,TRUE,"1,200,000",,,,,
1801524726814380032,TRUE,0,,,not covid,,,,
1732444804942803430,TRUE,0,,,not covid,,,,
1375558748245123073,TRUE,0,gone,,,,,,
1780228574361817369,TRUE,0,opinion,"43,400",,,,,
1813626431940780322,TRUE,0,,,not covid,,,,
1362436244425347076,TRUE,0,gone,,,,,,
1658858475567415296,TRUE,0,FALSE,"21,300",,,,,
1679437039996112896,TRUE,0,FALSE,"10,300",,,,,
1724361089553661972,TRUE,0,opinion,"10,300",,,,,
1632425743249559552,TRUE,0,,,not covid,,,,
1734649697225117841,TRUE,0,FALSE,"1,595",,,,,
1677391921394733056,TRUE,0,,,not covid,,,,
1820461897747243162,TRUE,0,,,not covid,,,,
1785196555344994452,TRUE,0,FALSE,142,,,,,
1728125015126863903,TRUE,0,TRUE,"33,100",,,,,
1425820477524561936,TRUE,0,FALSE,,,,,,
1484248893495943169,TRUE,0,opinion,,,x,,,
1436078242574868486,TRUE,0,opinion,,,,,,
1446564973992235008,TRUE,0,gone,,,,,,
1639291992155779079,TRUE,0,TRUE,"970,200",,,,,
1678147011646824450,TRUE,0,,,not covid,,,,
1459608698586808323,TRUE,0,TRUE,,,,,,
1415661013056241668,TRUE,0,FALSE,,,,,,
1688919743716319232,TRUE,0,FALSE,"453,000",,,,,
1662446787863478274,TRUE,0,FALSE,"17,700",,,,,
1377373838946754566,TRUE,0,TRUE,,,,,,
1734608048277323919,TRUE,0,FALSE,"33,200",,,,,
1760447020811059651,TRUE,0,FALSE,"549,800",,,,,
1698074910654861538,TRUE,0,opinion,"1,000,000",,x,,,
1777690481591304601,TRUE,0,FALSE,"13,200",,,,,
1632183277778763779,TRUE,0,FALSE,"1,300,000",,,,,
1842487588071866739,TRUE,0,TRUE,"89,100",,,,,
1440642438897364999,TRUE,0,TRUE,,,,,,
1742885439852134823,TRUE,0,FALSE,"33,100",,,,,
