tweetId,is_cancer,got_shown,true?,views,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1775731120023187884,True,0,FALSE,"165,900",,,,,,,,
1824814117548667292,True,0,?,,,,,,,,,
1798185753144627478,True,0,gone,,,,,,,,,
1742179182929445159,True,0,gone,,,,,,,,,
1781731555561398676,True,0,,,not cancer,,sample size,,,,,
1674523095649112067,True,0,?,,,,,0.14814815,not cancer rate,,,
1806205874689519713,True,0,,,not cancer,,20,0.85,false negative rate,,,
1737495579062636641,True,0,FALSE,"23,400",,,30,0.76666667,false negative rate,,,
1778397206111768717,True,0,FALSE,"17,000",,,40,0.675,false negative rate,,,
1808468360507584726,True,0,FALSE,"76,500",,,50,0.68,false negative rate,,,
1737728909582712869,True,0,?,,,,,,,,,
1799513597640343671,True,0,gone,,,,,,,,,
1753463324665417927,True,0,gone,,,,,,,,,
1772467269634851257,True,0,opinion,"3,700,000",,,,,,,,
1798733631210332343,True,0,,,not cancer,,,,,,,
1751815318459342917,True,0,?,,,,,,,,,
1770597734409757171,True,0,FALSE,"80,200",,,,,,,,
1834620117478453353,True,0,FALSE,"719,700",,,,,,,,
1710113029541531949,True,0,FALSE,"494,500",,,,,,,,
1830685884389167531,True,0,?,,,,,,,,,
1832785536114651203,True,0,gone,,,,,,,,,
1809610385730765110,True,0,?,,,,,,,,,
1779914960102965733,True,0,FALSE,"13,400",,,,,,,,
1817155821480054973,True,0,FALSE,"5,838",,,,,,,,
1778441712928432617,True,0,opinion,469,,,,,,,,
1794360891221156031,True,0,TRUE,"102,600",,,,,,,,
1790444875676283228,True,0,FALSE,"28,600",,,,,,,,
1449498205171826690,True,0,FALSE,,,,,,,,,
1736817551295099290,True,0,FALSE,"93,700",,,,,,,,
1816563538023891393,True,0,gone,,,,,,,,,
1713615470241157603,True,0,FALSE,"578,200",,,,,,,,
1736631661557604578,True,0,,,not cancer,,,,,,,
1664194101183488002,True,0,FALSE,"13,000",,,,,,,,
1738863306914340935,True,0,FALSE,"380,000",,,,,,,,
1666807296478027778,True,0,gone,,,,,,,,,
1778768101263151402,True,0,?,,,,,,,,,
1699157095827079401,True,0,FALSE,"952,600",,,,,,,,
1771695578629455873,True,0,FALSE,"580,200",,,,,,,,x
1718358218991395017,True,0,FALSE,"41,600",,,,,,,,
1635641718119833608,True,0,TRUE,"52,000",,,,,,,,
1781122798834073606,True,0,TRUE,"55,400",,,,,,,,
1816284741240304065,True,0,TRUE,"10,900",,,,,,,,
1750163455384920239,True,0,FALSE,"8,702",,,,,,,,
1695666203975376991,True,0,FALSE,"339,700",,,,,,,,
1828975913989456288,True,0,FALSE,"10,700",,,,,,,,
1830734957993500774,True,0,FALSE,"8,091",,,,,,,,
1788948325229883432,True,0,opinion,"21,400",,,,,,,,
1856002202168332326,True,0,FALSE,"45,600",,,,,,,,
1855359193676693614,True,0,,,,,,,,,,
1821879150778433609,True,0,,,,,,,,,,
1654909429421326338,True,0,TRUE,"2,845",start new random group below,,,,,,,
1771249612872962093,True,0,gone,,,,,,,,,
1773108582235439389,True,0,opinion,"848,800",,,,,,,,
1769041464531812776,True,0,FALSE,46,,,,,,,,
1738690907694879119,True,0,TRUE,"38,900",,,,,,,,
1771886159582376118,True,0,gone,,,,,,,,,
1823230509272461656,True,0,FALSE,"10,600",,,,,,,,
1683927896564592640,True,0,FALSE,"7,498",,,,,,,,
1830072166022357011,True,0,FALSE,"659,400",,,,,,,,
1715153911269453950,True,0,TRUE,"433,600",,,,,,,,
1756794321389355197,True,0,opinion,"9,088",,,,,,,,
1722376906576978293,True,0,opinion,"61,000",,,,,,,,
1838737760682922128,True,0,FALSE,"7,622",,,,,,,,
1710993980618350759,True,0,opinion,"33,800",,,,,,,,
1810276110795489298,True,0,?,,,,,,,,,
1787399407928832405,True,0,FALSE,"8,201",,,,,,,,
1819629331934580949,True,0,TRUE,"64,200",,,,,,,,
1821350666142396448,True,0,FALSE,"243,900",,,,,,,,
1684734501308518401,True,0,FALSE,"27,400",,,,,,,,
1842591581989183754,True,0,FALSE,"4,523",,,,,,,,
1779909951156088979,True,0,FALSE,"21,200",,,,,,,,
1808512981703016728,True,0,FALSE,"54,500",,,,,,,,
1839482180923191784,True,0,opinion,"32,000",,,,,,,,
1809377219057168621,True,0,,,,,,,,,,
1686264790807666688,True,0,,,,,,,,,,
1791670624093626776,True,0,,,,,,,,,,
1733532301873873008,True,0,,,,,,,,,,
1795283389135966481,True,0,,,,,,,,,,
1822921015254474888,True,0,,,,,,,,,,
1828886398612500505,True,0,,,,,,,,,,
1768986576854392880,True,0,,,,,,,,,,
1839855053408002365,True,0,,,,,,,,,,
1721983288305484168,True,0,,,,,,,,,,
1741151802941411680,True,0,,,,,,,,,,
1833680116087390597,True,0,,,,,,,,,,
1755885662639927334,True,0,,,,,,,,,,
1724925641760334215,True,0,,,,,,,,,,
1851788821030937058,True,0,,,,,,,,,,
1669724743799394308,True,0,,,,,,,,,,
1843679472341467323,True,0,,,,,,,,,,
1801158716550430909,True,0,,,,,,,,,,
1672167865355493378,True,0,,,,,,,,,,
1742762421121605905,True,0,,,,,,,,,,
1681290328408576001,True,0,,,,,,,,,,
1749049730770821212,True,0,,,,,,,,,,
1804485673467994591,True,0,,,,,,,,,,
1808466733855908249,True,0,,,,,,,,,,
1752887150192848969,True,0,,,,,,,,,,
1799986141300453871,True,0,,,,,,,,,,
1826616781643129302,True,0,,,,,,,,,,
1727159970305560635,True,0,,,,,,,,,,
1798323714473201989,True,0,,,,,,,,,,
1754560288014446923,True,0,,,,,,,,,,
1841762255873925467,True,0,,,,,,,,,,
1783362741064937649,True,0,,,,,,,,,,
1737299041149432305,True,0,,,,,,,,,,
1801767895011152044,True,0,,,,,,,,,,
1824001123641892966,True,0,,,,,,,,,,
1815816655903039595,True,0,,,,,,,,,,
1806783383722205346,True,0,,,,,,,,,,
1796629116885631464,True,0,,,,,,,,,,
1693454051856282041,True,0,,,,,,,,,,
1855187980257820765,True,0,,,,,,,,,,
1678720293748047872,True,0,,,,,,,,,,
1846081653321748669,True,0,,,,,,,,,,
1765026292653515229,True,0,,,,,,,,,,
1764005453355254003,True,0,,,,,,,,,,
1783549302435889155,True,0,,,,,,,,,,
1776423141621006745,True,0,,,,,,,,,,
1851272104290779499,True,0,,,,,,,,,,
1775651392788824340,True,0,,,,,,,,,,
1770128158601200079,True,0,,,,,,,,,,
1729951849363489016,True,0,,,,,,,,,,
1837129645960937490,True,0,,,,,,,,,,
1712547777388097921,True,0,,,,,,,,,,
1801067866072207856,True,0,,,,,,,,,,
1822360561180463195,True,0,,,,,,,,,,
1637085127326015488,True,0,,,,,,,,,,
1748845315535286742,True,0,,,,,,,,,,
1795462539750371347,True,0,,,,,,,,,,
1763585434225946815,True,0,,,,,,,,,,
1751804826948604058,True,0,,,,,,,,,,
1853203059142209972,True,0,,,,,,,,,,
1830663253145592300,True,0,,,,,,,,,,
1814279551209361902,True,0,,,,,,,,,,
1624758284694462465,True,0,,,,,,,,,,
1829144697715208663,True,0,,,,,,,,,,
1812001409795297575,True,0,,,,,,,,,,
1804807259500773520,True,0,,,,,,,,,,
1801153742453997638,True,0,,,,,,,,,,
1781741277618553061,True,0,,,,,,,,,,
1839610687561330760,True,0,,,,,,,,,,
1777569959989957002,True,0,,,,,,,,,,
1683984343180668929,True,0,,,,,,,,,,
1784402202703892910,True,0,,,,,,,,,,
1662883475358371840,True,0,,,,,,,,,,
1823689394210975796,True,0,,,,,,,,,,
1813765399475093537,True,0,,,,,,,,,,
1772220059634569694,True,0,,,,,,,,,,
