tweetId,is_israel,got_shown,true?,views,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1800752986064617570,TRUE,0,FALSE,"916,400",,,,
1714792797813788945,TRUE,0,opinion,"4,300,000",,,,
1751015901179326813,TRUE,0,opinion,"1,508",,,,
1738877175988895916,TRUE,0,FALSE,"164,400",,sample size,,
1823122800095457535,TRUE,0,opinion,"4,100,000",,22,0.090909091,not israel
1733789344073224421,TRUE,0,FALSE,"31,300",,20,0.15,false negative rate
1803465606928412718,TRUE,0,opinion,"30,700",,30,0.2,false negative rate
1848188530549289309,TRUE,0,TRUE,"1,600,000",,,,
1730210069672014027,TRUE,0,TRUE,"97,700",,,,
1765465025555116529,TRUE,0,opinion,"652,900",,,,
1803766934544032053,TRUE,0,opinion,"3,114",,,,
1712781519373160879,TRUE,0,opinion,"583,300",,,,
1799480543429722161,TRUE,0,TRUE,"374,300",,,,
1714924745949348155,TRUE,0,TRUE,"15,700",,,,
1840061688013283336,TRUE,0,opinion,"425,300",,,,
1462393765310705674,TRUE,0,TRUE,,,,,
1812079277904413182,TRUE,0,TRUE,"22,600",,,,
1801164681970663462,TRUE,0,,,not israel,,,
1794005976816750918,TRUE,0,TRUE,"229,600",,,,
1713322670266167384,TRUE,0,,,not israel,,,
1712894032219984166,TRUE,0,gone,,,,,
1719470727106076954,TRUE,0,TRUE,"60,400",x,,,
1841193280090095839,TRUE,0,FALSE,"664,300",,,,
1795979415706358113,TRUE,0,opinion,"908,800",,,,
1769105342003044374,TRUE,0,gone,,,,,
1716819426836914526,TRUE,0,FALSE,"168,000",,,,
1785296203355226543,TRUE,0,opinion,"913,700",,,,
1736178479027167405,TRUE,0,FALSE,"77,900",,,,
1713401332206305507,TRUE,0,gone,,,,,
1747637754047889477,TRUE,0,TRUE,"2,300,000",,,,
1755659339807838620,TRUE,0,TRUE,"31,000",,,,
1772723092030132458,TRUE,0,true ,"157,200",,,,
1732759709159928124,TRUE,0,TRUE,"662,000",,,,
1728874166861037913,TRUE,0,TRUE,"775,100",,,,
1849991506016288925,TRUE,0,TRUE,"2,631",,,,
1730572287294730634,TRUE,0,gone,,,,,
1749471625152475275,TRUE,0,?,,,,,
1724041082542104582,TRUE,0,true ,,x,,,
1705711278335910102,TRUE,0,,,,,,
1836576357612163337,TRUE,0,,,,,,
1809301735191498868,TRUE,0,,,,,,
1759227829202436509,TRUE,0,,,,,,
1719072167768248344,TRUE,0,,,,,,
1754446614578565508,TRUE,0,,,,,,
1831295148119998961,TRUE,0,,,,,,
1767927723362496979,TRUE,0,,,,,,
1773072988197249336,TRUE,0,,,,,,
1757077466550550567,TRUE,0,,,,,,
1791190780184256622,TRUE,0,,,,,,
1733251756224897253,TRUE,0,,,,,,
1711538233517978036,TRUE,0,,,,,,
1739317326380773387,TRUE,0,,,,,,
1739166705731981776,TRUE,0,,,,,,
1774089812774932713,TRUE,0,,,,,,
1800567183967477910,TRUE,0,,,,,,
1844087528925822987,TRUE,0,,,,,,
1780124578745926094,TRUE,0,,,,,,
1823118765438951479,TRUE,0,,,,,,
1734622894699995547,TRUE,0,,,,,,
1734220259891011786,TRUE,0,,,,,,
1779892971623911768,TRUE,0,,,,,,
1814012791415545899,TRUE,0,,,,,,
1759639394795790488,TRUE,0,,,,,,
1710604643372356091,TRUE,0,,,,,,
1817491944253116484,TRUE,0,,,,,,
1729697472325247092,TRUE,0,,,,,,
1757482851367371013,TRUE,0,,,,,,
1748055397888623000,TRUE,0,,,,,,
1724890056903524799,TRUE,0,,,,,,
1733956354816041347,TRUE,0,,,,,,
1727711162525986891,TRUE,0,,,,,,
1841177311972036742,TRUE,0,,,,,,
1799782815841521852,TRUE,0,,,,,,
1755447049330565250,TRUE,0,,,,,,
1712281691799126330,TRUE,0,,,,,,
1744004199480726013,TRUE,0,,,,,,
1781158417203413168,TRUE,0,,,,,,
1836094875244056715,TRUE,0,,,,,,
1772946658000527625,TRUE,0,,,,,,
1809885361180471437,TRUE,0,,,,,,
1718280283298963503,TRUE,0,,,,,,
1725459849935269992,TRUE,0,,,,,,
1712542810241733059,TRUE,0,,,,,,
1836093189201236434,TRUE,0,,,,,,
1769282599615139978,TRUE,0,,,,,,
1768395617045500359,TRUE,0,,,,,,
1714405678733721975,TRUE,0,,,,,,
1731404560114082241,TRUE,0,,,,,,
1750918759022288964,TRUE,0,,,,,,
1804927651733225621,TRUE,0,,,,,,
1712811314299490353,TRUE,0,,,,,,
1772928152072790393,TRUE,0,,,,,,
1826731642591084723,TRUE,0,,,,,,
1803859504657780817,TRUE,0,,,,,,
1735592453716210173,TRUE,0,,,,,,
1762100963190428107,TRUE,0,,,,,,
1716869538220765189,TRUE,0,,,,,,
1785672734866903308,TRUE,0,,,,,,
