tweetId,is_earthquakesmall,got_shown,true?,views,topic,,,
1628312922878357504,TRUE,1,FALSE,"1,900,000",,,,
1741863492393824279,TRUE,1,gone,,,sample size,,
1794198007455580363,TRUE,1,FALSE,"78,700",,10,100,true positive rate
1632650357858787328,TRUE,1,gone,,,20,0.9,true positive rate
1713218583965123017,TRUE,1,FALSE,"211,700",,30,0.93,true positive rate
1730987503400697875,TRUE,1,FALSE,"148,800",,,,
1623754203452833793,TRUE,1,FALSE,"250,800",x,,,
1714673390953361677,TRUE,1,FALSE,"430,400",,,,
1710752576977649709,TRUE,1,FALSE,"1,800,000",,,,
1814563140027204082,TRUE,1,gone,,,,,
1789731226116391029,TRUE,1,gone,,,,,
1674489676323758105,TRUE,1,gone,,,,,
1623883112206983169,TRUE,1,gone,,,,,
1636736705121378305,TRUE,1,gone,,,,,
1664318267832270848,TRUE,1,FALSE,"157,500",,,,
1842861970413719685,TRUE,1,gone,,,,,
1741741523492876681,TRUE,1,gone,,,,,
1639908996411695106,TRUE,1,FALSE,"438,800",,,,
1713156824734507154,TRUE,1,FALSE,"434,700",not earthquake,,,
1622650501283053592,TRUE,1,FALSE,"15,300",,x,,
1780608188099826102,TRUE,1,gone,,,,,
1632649148355813382,TRUE,1,gone,,,,,
1741742201938624701,TRUE,1,gone,,,,,
1767180096098468296,TRUE,1,gone,,,,,
1622676449898422272,TRUE,1,FALSE,"1,000,000",,,,
1633410023144542209,TRUE,1,gone,,,,,
1612517575837249537,TRUE,1,gone,,,,,
1776262150643720380,TRUE,1,gone,,,,,
1714666647322030319,TRUE,1,FALSE,"210,800",,x,,
1813076152828694737,TRUE,1,opinion,"28,200",,,,
1622782858267070464,TRUE,1,gone,,,,,
1731012280928584120,TRUE,1,gone,,,,,
1591628062952751105,TRUE,1,gone,,,,,
1624455067301470209,TRUE,1,FALSE,"1,800,000",,,,
1613445692604747776,TRUE,1,gone,,,,,
1741762737376805173,TRUE,1,gone,,,,,
1623790360949293057,TRUE,1,TRUE,"4,500,000",,,,
1812122018739044748,TRUE,1,,,not earthquake,,,
1741732668021043261,TRUE,1,FALSE,"268,800",,x,,
1759640548246495519,TRUE,1,,,not earthquake,,,
1655906080201879552,TRUE,1,FALSE,"1,600,000",,,,
1712959589128274256,TRUE,1,FALSE,"1,300,000",,,,
1658109071759667203,TRUE,1,FALSE,"410,000",,,,
1625826005637120000,TRUE,1,FALSE,"1,400,000",,,,
1624327899531689985,TRUE,1,FALSE,"2,200,000",,,,
1663940140635389952,TRUE,1,FALSE,"575,100",,,,
1640234468504944641,TRUE,1,FALSE,"679,000",,,,
1622550205018296323,TRUE,1,gone,,,,,
1670896727560458247,TRUE,1,FALSE,"581,100",,,,
1622707180943147011,TRUE,1,FALSE,"57,200",,,,
1628762114218201089,TRUE,1,gone,,,,,
1629116371132096512,TRUE,1,FALSE,"23,500",,,,
1678003400904941568,TRUE,1,,,not earthquake,,,
1636252777692184580,TRUE,1,FALSE,"867,000",,,,
1803329594868556096,TRUE,1,,,not earthquake,,,
1741759265176777189,TRUE,1,gone,,,,,
1844067216872047106,TRUE,1,gone,,,,,
1821925350370079228,TRUE,1,,,not earthquake,,,
1775481333684269245,TRUE,1,FALSE,"273,600",,,,
1762417294125228152,TRUE,1,,,not earthquake,,,
1653353242984579076,TRUE,1,FALSE,"889,400",,,,
1834245164015255874,TRUE,1,,,,,,
1788191780648689882,TRUE,1,,,,,,
1637750399435145216,TRUE,1,,,,,,
1712370706804027441,TRUE,1,,,,,,
1799269042991288474,TRUE,1,,,,,,
1623118308252712962,TRUE,1,,,,,,
1636390276343435272,TRUE,1,,,,,,
1599928479855759360,TRUE,1,,,,,,
1775394561667248550,TRUE,1,,,,,,
1714325908859896076,TRUE,1,,,,,,
1852353758451343796,TRUE,1,,,,,,
1622576675237011457,TRUE,1,,,,,,
1627797180915359744,TRUE,1,,,,,,
1622856236847841280,TRUE,1,,,,,,
1602041036787929088,TRUE,1,,,,,,
1622602006895464459,TRUE,1,,,,,,
1656333681391198208,TRUE,1,,,,,,
1622852063523635204,TRUE,1,,,,,,
1640247584470999045,TRUE,1,,,,,,
1730975597315158503,TRUE,1,,,,,,
1622661491341107209,TRUE,1,,,,,,
1775331652324958676,TRUE,1,,,,,,
1611177505154600962,TRUE,1,,,,,,
1712501897851003031,TRUE,1,,,,,,
1775370732693799410,TRUE,1,,,,,,
1821039285635793121,TRUE,1,,,,,,
1531440982478176261,TRUE,1,,,,,,
1622676692757098497,TRUE,1,,,,,,
1634820312041701378,TRUE,1,,,,,,
1657822137518792705,TRUE,1,,,,,,
1669944230523936768,TRUE,1,,,,,,
1636263730655707138,TRUE,1,,,,,,
1623574312971116544,TRUE,1,,,,,,
1741902718367875090,TRUE,1,,,,,,
1742027064327467379,TRUE,1,,,,,,
1741879557622542589,TRUE,1,,,,,,
1650014697704284161,TRUE,1,,,,,,
1610291776442535936,TRUE,1,,,,,,
1664941677990035456,TRUE,1,,,,,,
