tweetId,is_trump,got_shown,true?,views,,,,
1835704007450312879,TRUE,1,FALSE,"104,400",,,,
1750580435803938889,TRUE,1,FALSE,"440,300",,sample size,,
1638192127544020993,TRUE,1,gone,,,20,0.85,
1737506444449345921,TRUE,1,FALSE,"263,600",,30,0.83,true positive rate
1586060657920659457,TRUE,1,FALSE,,,,,
1812338656478183511,TRUE,1,gone,,,,,
1850968105817874537,TRUE,1,gone,,,,,
1816150986819526804,TRUE,1,FALSE,"40,500",,,,
1639393041151819776,TRUE,1,FALSE,"387,000",,,,
1610042295730200576,TRUE,1,FALSE,"2,100,000",,,,
1786132874380333155,TRUE,1,FALSE,"3,000,000",,,,
1605643443258236929,TRUE,1,FALSE,"70,400",,,,
1840939310528545232,TRUE,1,TRUE,"5,500,000",,,,
1680089192418750465,TRUE,1,FALSE,"11,000,000",,,,
1694767967442194596,TRUE,1,FALSE,"481,600",,,,
1833495614597796097,TRUE,1,TRUE,"7,700,000",,,,
1847704913301954700,TRUE,1,FALSE,"24,800",,,,
1639765917885186050,TRUE,1,FALSE,"41,700",,,,
1853471043186307463,TRUE,1,TRUE,"3,600,000",,,,
1576044130211614720,TRUE,1,gone,,,,,
1698750824200241639,TRUE,1,FALSE,"472,300",,,,
1707942669312471444,TRUE,1,FALSE,"217,700",,,,
1656999090201272320,TRUE,1,gone,,,,,
1628524514446397443,TRUE,1,gone,,,,,
1656856281661988864,TRUE,1,FALSE,"3,100,000",,,,
1820301274350600326,TRUE,1,FALSE,"177,800",x,,,
1846318320603013588,TRUE,1,FALSE,"8,500,000",,,,
1816803869906665801,TRUE,1,gone,,,,,
1706483453305176160,TRUE,1,FALSE,"1,800,000",,,,
1779634495672467964,TRUE,1,FALSE,"744,100",,,,
1793026868267856062,TRUE,1,FALSE,"204,600",,,,
1782070211123744932,TRUE,1,gone,,,,,
1813962404012904458,TRUE,1,gone,,,,,
1638192386856583169,TRUE,1,FALSE,"6,900,000",,,,
1689651068173774849,TRUE,1,FALSE,"129,400",,,,
1669077218683940865,TRUE,1,gone,,,,,
1768993433530622280,TRUE,1,?,,,,,
1760536038173213132,TRUE,1,gone,,,,,
1808611005678899453,TRUE,1,FALSE,"598,000",,,,
1653540193457119239,TRUE,1,TRUE,"890,600",,,,
1812572897476546859,TRUE,1,gone,,,,,
1767965787502063984,TRUE,1,gone,,,,,
1779997921246691831,TRUE,1,opinion,"77,400",,,,
1647202329827975168,TRUE,1,FALSE,"21,700",,,,
1594501240746033153,TRUE,1,,,,,,
1697935731811832071,TRUE,1,,,,,,
1746640715696754873,TRUE,1,,,,,,
1818416177154085190,TRUE,1,,,,,,
1855998767989998013,TRUE,1,,,,,,
1742862990477533559,TRUE,1,,,,,,
1851808627427869119,TRUE,1,,,,,,
1849998501578494271,TRUE,1,,,,,,
1684245646746824708,TRUE,1,,,,,,
1588236707790393344,TRUE,1,,,,,,
1852736086545428754,TRUE,1,,,,,,
1646242759655948292,TRUE,1,,,,,,
1812260665106825303,TRUE,1,,,,,,
1852027128964911165,TRUE,1,,,,,,
1673863461695102977,TRUE,1,,,,,,
1526999813627052032,TRUE,1,,,,,,
1851972402894242061,TRUE,1,,,,,,
1835468128702132618,TRUE,1,,,,,,
1817345373108670875,TRUE,1,,,,,,
1835289676959064119,TRUE,1,,,,,,
1755394244129259610,TRUE,1,,,,,,
1815427561557491916,TRUE,1,,,,,,
1753592251794829476,TRUE,1,,,,,,
1837827792660025545,TRUE,1,,,,,,
1831346303772549582,TRUE,1,,,,,,
1836404308457246872,TRUE,1,,,,,,
1835480820779258307,TRUE,1,,,,,,
1657414118297546752,TRUE,1,,,,,,
1708944644648624334,TRUE,1,,,,,,
1789635042756477323,TRUE,1,,,,,,
1685439719960641536,TRUE,1,,,,,,
1850001859307504005,TRUE,1,,,,,,
1626351470256746496,TRUE,1,,,,,,
1851017174623629692,TRUE,1,,,,,,
1810082800013562350,TRUE,1,,,,,,
1854138197196014033,TRUE,1,,,,,,
1803622305849057705,TRUE,1,,,,,,
1852731862390603833,TRUE,1,,,,,,
1745784303932297587,TRUE,1,,,,,,
1812480675842347255,TRUE,1,,,,,,
1826460234816139346,TRUE,1,,,,,,
1853943123203793160,TRUE,1,,,,,,
1737382501553787131,TRUE,1,,,,,,
1812613848538763621,TRUE,1,,,,,,
1747077727683784758,TRUE,1,,,,,,
1783201501504020495,TRUE,1,,,,,,
1827393443120677214,TRUE,1,,,,,,
1820464053107753394,TRUE,1,,,,,,
1824967896415744007,TRUE,1,,,,,,
1624423012966465544,TRUE,1,,,,,,
1852745862541115420,TRUE,1,,,,,,
1745277441399234780,TRUE,1,,,,,,
1812275407044940079,TRUE,1,,,,,,
1851470109769932875,TRUE,1,,,,,,
1609029438079139840,TRUE,1,,,,,,
1723048257071329680,TRUE,1,,,,,,
