tweetId,is_trump,got_shown,true?,views,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1791516359764926574,True,0,TRUE,"261,900",,,,
1800054057341710445,True,0,FALSE,"414,600",,,,
1816076666264850573,True,0,gone,,,,,
1744103484008386845,True,0,opinion,"271,800",,,,
1836073086745006344,True,0,FALSE,"101,900",,,,
1815185851673932220,True,0,FALSE,"479,600",,sample size,,
1851339664948343173,True,0,opinion,"1,600,000",,,0.2,not trump rate
1669353191627186187,True,0,TRUE,"3,000,000",,,,
1816111231012344311,True,0,opinion,"88,100",,20,0.35,warning rate (false negative)
1840153764663070835,True,0,,,not trump,30,0.3,warning rate (false negative)
1796214081579343965,True,0,TRUE,"1,500,000",,,,
1759247459673690566,True,0,gone,,,,,
1795646202316288317,True,0,opinion,"4,100,000",,,,
1816214080866148518,True,0,,,not trump,,,
1850657408877736286,True,0,opinion,"347,600",,,,
1692270929815253354,True,0,FALSE,"384,600",,,,
1809804042861724051,True,0,FALSE,"919,400",,,,
1674173057886220289,True,0,opinion,"1,620",,,,
1747108202867556646,True,0,opinion,"164,300",,,,
1677761187784654850,True,0,FALSE,"1,100,000",,,,
1848587082895368423,True,0,,,not trump,,,
1807803210406473886,True,0,FALSE,"131,400",,,,
1711206087834194238,True,0,,,not trump,,,
1782256062655042010,True,0,TRUE,"31,400",,,,
1836398852728881221,True,0,opinion,"1,200,000",,,,
1699225888678621383,True,0,opinion,"301,800",x,,,
1829338662854656424,True,0,TRUE,"3,500,000",,,,
1814120434364756273,True,0,opinion,"449,400",,,,
1697149116411732151,True,0,FALSE,"101,100",,,,
1812706809699869099,True,0,opinion,230,,,,
1771939294938276329,True,0,gone,,,,,
1831067964923314333,True,0,TRUE,"112,600",,,,
1799806586069860791,True,0,opinion,"778,100",,,,
1813601256977625605,True,0,TRUE,"2,700,000",,,,
1814453137383796987,True,0,opinion,"1,017",,,,
1773032239036793157,True,0,FALSE,"229,000",,,,
1759918509084094816,True,0,opinion,"179,800",x,,,
1457189682345820161,True,0,FALSE,,,,,
1852688644017996139,True,0,,,,,,
1835103594095218860,True,0,,,,,,
1801443858720473106,True,0,,,,,,
1356096800613142528,True,0,,,,,,
1816288420009849245,True,0,,,,,,
1824278227528941709,True,0,,,,,,
1839297313438838909,True,0,,,,,,
1853969153255748020,True,0,,,,,,
1769166817673589091,True,0,,,,,,
1810496330273345541,True,0,,,,,,
1849269616725381142,True,0,,,,,,
1816221819730264270,True,0,,,,,,
1730287641772331385,True,0,,,,,,
1825655850759066012,True,0,,,,,,
1799132862928789740,True,0,,,,,,
1842023539526009135,True,0,,,,,,
1839058547369230368,True,0,,,,,,
1846876341305504025,True,0,,,,,,
1813358127649276373,True,0,,,,,,
1842343987677634793,True,0,,,,,,
1800214568523739471,True,0,,,,,,
1822803708360769757,True,0,,,,,,
1854528068083195975,True,0,,,,,,
1658645587212881922,True,0,,,,,,
1842254213419540705,True,0,,,,,,
1626601555255336962,True,0,,,,,,
1833165012598219196,True,0,,,,,,
1667293156851720194,True,0,,,,,,
1834436899110367593,True,0,,,,,,
1798177696448651572,True,0,,,,,,
1837083799848431869,True,0,,,,,,
1783206085509238953,True,0,,,,,,
1805654452453752890,True,0,,,,,,
1806501048724430943,True,0,,,,,,
1388133572486176768,True,0,,,,,,
1812352853736047050,True,0,,,,,,
1854177001722282309,True,0,,,,,,
1852546733479178514,True,0,,,,,,
1765539942648717546,True,0,,,,,,
1372773573694083073,True,0,,,,,,
1796292690952556847,True,0,,,,,,
1854743402640027954,True,0,,,,,,
1835413263900971451,True,0,,,,,,
1648494347250454530,True,0,,,,,,
1359178818100097025,True,0,,,,,,
1810069467256529325,True,0,,,,,,
1814394938706276795,True,0,,,,,,
1829911881877787124,True,0,,,,,,
1850668305679364228,True,0,,,,,,
1851826897904373990,True,0,,,,,,
1665132285409083393,True,0,,,,,,
1835795307876991060,True,0,,,,,,
1391823376247926786,True,0,,,,,,
1796247176386937166,True,0,,,,,,
1771873597998432503,True,0,,,,,,
1849274250303074357,True,0,,,,,,
1836746845638238295,True,0,,,,,,
1852225284646346754,True,0,,,,,,
1809192320501223782,True,0,,,,,,
1778897182013178192,True,0,,,,,,
1852687230063476779,True,0,,,,,,
